image,label
ISIC_0056473,2
ISIC_0061081,2
ISIC_0072630,2
ISIC_0070118,0
ISIC_0068330,2
ISIC_0031745,0
ISIC_0013984_downsampled,0
ISIC_0012988_downsampled,0
ISIC_0071699,0
ISIC_0063931,2
ISIC_0060871,2
ISIC_0055123,2
ISIC_0061407,0
ISIC_0057629,2
ISIC_0065664,2
ISIC_0062946,2
ISIC_0054859,0
ISIC_0063753,0
ISIC_0066054,2
ISIC_0033498,0
ISIC_0027595,2
ISIC_0065743,2
ISIC_0058584,2
ISIC_0015204_downsampled,0
ISIC_0054787,0
ISIC_0058806,2
ISIC_0065714,0
ISIC_0065063,2
ISIC_0053648,2
ISIC_0063515,2
ISIC_0071776,0
ISIC_0066759,2
ISIC_0033534,0
ISIC_0062339,0
ISIC_0059810,0
ISIC_0057672,0
ISIC_0013832_downsampled,0
ISIC_0032204,0
ISIC_0029341,2
ISIC_0057179,2
ISIC_0068270,2
ISIC_0062451,2
ISIC_0068850,0
ISIC_0067486,2
ISIC_0062708,0
ISIC_0032638,0
ISIC_0024630,0
ISIC_0068554,0
ISIC_0028075,0
ISIC_0060118,0
ISIC_0059950,2
ISIC_0032959,2
ISIC_0066824,2
ISIC_0054449,2
ISIC_0060189,2
ISIC_0058173,0
ISIC_0069424,2
ISIC_0070537,2
ISIC_0067934,0
ISIC_0072175,0
ISIC_0060150,0
ISIC_0055303,2
ISIC_0065807,0
ISIC_0064981,2
ISIC_0071537,0
ISIC_0065671,0
ISIC_0062945,2
ISIC_0032461,2
ISIC_0070997,2
ISIC_0032400,0
ISIC_0028026,0
ISIC_0058735,2
ISIC_0063958,0
ISIC_0054384,0
ISIC_0065483,2
ISIC_0070943,2
ISIC_0071882,2
ISIC_0069595,0
ISIC_0061336,0
ISIC_0033024,0
ISIC_0056251,2
ISIC_0054074,2
ISIC_0057596,2
ISIC_0060967,0
ISIC_0054777,0
ISIC_0024700,0
ISIC_0059815,2
ISIC_0015251_downsampled,0
ISIC_0014079_downsampled,0
ISIC_0034208,0
ISIC_0066655,2
ISIC_0014862_downsampled,0
ISIC_0013359_downsampled,0
ISIC_0032532,0
ISIC_0032098,0
ISIC_0057849,0
ISIC_0034313,0
ISIC_0010319,0
ISIC_0024582,2
ISIC_0058514,2
ISIC_0054877,2
ISIC_0069457,0
ISIC_0069362,2
ISIC_0032602,0
ISIC_0055282,0
ISIC_0055706,2
ISIC_0065662,2
ISIC_0069386,0
ISIC_0064498,0
ISIC_0063961,0
ISIC_0063130,0
ISIC_0059917,2
ISIC_0066248,2
ISIC_0024546,0
ISIC_0056742,2
ISIC_0059050,2
ISIC_0060589,0
ISIC_0071053,2
ISIC_0064236,2
ISIC_0033275,0
ISIC_0058425,0
ISIC_0067375,0
ISIC_0062632,0
ISIC_0057373,2
ISIC_0072465,2
ISIC_0060662,2
ISIC_0064013,2
ISIC_0069709,2
ISIC_0054113,2
ISIC_0033848,0
ISIC_0062234,0
ISIC_0072616,2
ISIC_0053601,2
ISIC_0025467,2
ISIC_0056876,0
ISIC_0025266,2
ISIC_0070431,0
ISIC_0068322,2
ISIC_0057237,2
ISIC_0057219,2
ISIC_0027238,0
ISIC_0065579,2
ISIC_0054021,0
ISIC_0000077_downsampled,0
ISIC_0070827,2
ISIC_0073137,2
ISIC_0059388,2
ISIC_0068616,0
ISIC_0058978,2
ISIC_0061418,0
ISIC_0071461,2
ISIC_0031034,0
ISIC_0061379,0
ISIC_0032139,2
ISIC_0071381,2
ISIC_0030755,2
ISIC_0070689,0
ISIC_0033063,0
ISIC_0012450_downsampled,0
ISIC_0056550,2
ISIC_0014284_downsampled,0
ISIC_0071035,0
ISIC_0055840,0
ISIC_0059255,2
ISIC_0066290,2
ISIC_0053546,2
ISIC_0034218,0
ISIC_0059343,0
ISIC_0072174,0
ISIC_0056364,0
ISIC_0067598,0
ISIC_0033946,0
ISIC_0071176,0
ISIC_0064320,0
ISIC_0031925,2
ISIC_0055950,2
ISIC_0026596,0
ISIC_0029129,2
ISIC_0054616,2
ISIC_0069812,2
ISIC_0065462,2
ISIC_0029489,2
ISIC_0061833,0
ISIC_0055379,2
ISIC_0058465,0
ISIC_0059592,2
ISIC_0071156,2
ISIC_0070805,0
ISIC_0073065,0
ISIC_0033468,2
ISIC_0054618,0
ISIC_0062423,0
ISIC_0072663,2
ISIC_0068036,2
ISIC_0068218,0
ISIC_0027117,2
ISIC_0068781,2
ISIC_0014319_downsampled,0
ISIC_0068420,0
ISIC_0061861,2
ISIC_0033616,0
ISIC_0033562,0
ISIC_0055264,0
ISIC_0024345,2
ISIC_0030110,0
ISIC_0054462,0
ISIC_0072508,0
ISIC_0032564,0
ISIC_0062816,0
ISIC_0059595,0
ISIC_0001103_downsampled,0
ISIC_0062685,2
ISIC_0070204,2
ISIC_0056887,2
ISIC_0063714,2
ISIC_0055089,2
ISIC_0054274,0
ISIC_0033872,0
ISIC_0058866,0
ISIC_0030083,0
ISIC_0014951_downsampled,0
ISIC_0030712,2
ISIC_0069970,0
ISIC_0013651_downsampled,0
ISIC_0062845,2
ISIC_0013198_downsampled,0
ISIC_0028582,0
ISIC_0055096,2
ISIC_0068742,2
ISIC_0063806,2
ISIC_0055913,2
ISIC_0063860,2
ISIC_0069273,0
ISIC_0025277,0
ISIC_0072768,0
ISIC_0056310,2
ISIC_0065670,2
ISIC_0065919,2
ISIC_0063967,2
ISIC_0027365,2
ISIC_0068051,0
ISIC_0009868,0
ISIC_0031953,0
ISIC_0068632,2
ISIC_0000163,0
ISIC_0025530,2
ISIC_0063756,2
ISIC_0034253,0
ISIC_0068751,2
ISIC_0072496,0
ISIC_0065468,0
ISIC_0013429_downsampled,0
ISIC_0070511,2
ISIC_0058366,0
ISIC_0060990,2
ISIC_0064559,0
ISIC_0058883,2
ISIC_0064280,2
ISIC_0028687,2
ISIC_0057937,2
ISIC_0070436,2
ISIC_0056916,2
ISIC_0031569,2
ISIC_0062633,0
ISIC_0032225,2
ISIC_0028537,0
ISIC_0027838,0
ISIC_0065546,2
ISIC_0061213,2
ISIC_0068243,2
ISIC_0063181,0
ISIC_0014044_downsampled,0
ISIC_0054982,0
ISIC_0062602,0
ISIC_0033129,0
ISIC_0060685,2
ISIC_0063651,2
ISIC_0065666,2
ISIC_0054820,2
ISIC_0061516,0
ISIC_0071907,2
ISIC_0065249,2
ISIC_0065132,0
ISIC_0033429,0
ISIC_0032134,0
ISIC_0063655,0
ISIC_0060239,0
ISIC_0062963,2
